"time","year","month","day"
1857-06-26,1857,"June",26
1857-07-01,1857,"July",3
1857-07-10,1857,"July",10
1857-07-17,1857,"July",17
1857-07-24,1857,"July",24
1857-07-31,1857,"July",31
1857-08-01,1857,"August",7
1857-08-14,1857,"August",14
1857-08-21,1857,"August",21
1857-08-28,1857,"August",28
1857-09-01,1857,"September",4
1857-09-11,1857,"September",11
1857-09-18,1857,"September",18
1857-09-25,1857,"September",25
1857-10-01,1857,"October",2
1857-10-09,1857,"October",9
1857-10-16,1857,"October",16
1857-10-23,1857,"October",23
1857-10-30,1857,"October",30
1857-11-01,1857,"November",6
1857-11-13,1857,"November",13
1857-11-20,1857,"November",20
1857-11-27,1857,"November",27
1857-12-01,1857,"December",4
1857-12-11,1857,"December",11
1857-12-18,1857,"December",18
1857-12-25,1857,"December",25
1858-01-01,1858,"January",1
1858-01-08,1858,"January",8
1858-01-15,1858,"January",15
1858-01-22,1858,"January",22
1858-01-29,1858,"January",29
1858-02-01,1858,"February",5
1858-02-12,1858,"February",12
1858-02-19,1858,"February",19
1858-02-26,1858,"February",26
1858-03-01,1858,"March",5
1858-03-12,1858,"March",12
1858-03-19,1858,"March",19
1858-03-26,1858,"March",26
1858-04-01,1858,"April",2
1858-04-09,1858,"April",9
1858-04-16,1858,"April",16
1858-04-23,1858,"April",23
1858-04-30,1858,"April",30
1858-05-01,1858,"May",7
1858-05-14,1858,"May",14
1858-05-21,1858,"May",21
1858-05-28,1858,"May",28
1858-06-01,1858,"June",4
1858-06-11,1858,"June",11
1858-06-18,1858,"June",18
1858-06-25,1858,"June",25
1858-07-01,1858,"July",2
1858-07-09,1858,"July",9
1858-07-16,1858,"July",16
1858-07-23,1858,"July",23
1858-07-30,1858,"July",30
1858-08-01,1858,"August",6
1858-08-13,1858,"August",13
1858-08-20,1858,"August",20
1858-08-27,1858,"August",27
1858-09-01,1858,"September",3
1858-09-10,1858,"September",10
1858-09-17,1858,"September",17
1858-09-24,1858,"September",24
1858-10-01,1858,"October",1
1858-10-08,1858,"October",8
1858-10-15,1858,"October",15
1858-10-22,1858,"October",22
1858-10-29,1858,"October",29
