new_time,year,month,day,time
1745-08-08,1745,August,8,1745-08-08
1745-08-15,1745,August,15,1745-08-15
1745-08-22,1745,August,22,1745-08-22
1745-08-29,1745,August,29,1745-08-29
1745-09-05,1745,September,5,1745-09-01
1745-09-12,1745,September,12,1745-09-12
1745-09-19,1745,September,19,1745-09-19
1745-09-26,1745,September,26,1745-09-26
1745-10-03,1745,October,3,1745-10-01
1745-10-10,1745,October,10,1745-10-10
1745-10-17,1745,October,17,1745-10-17
1745-10-24,1745,October,24,1745-10-24
1745-10-31,1745,October,31,1745-10-31
1745-11-07,1745,November,7,1745-11-01
1745-11-14,1745,November,14,1745-11-14
1745-11-21,1745,November,21,1745-11-21
1745-11-28,1745,November,28,1745-11-28
1745-12-05,1745,December,5,1745-12-01
1745-12-12,1745,December,12,1745-12-12
1745-12-19,1745,December,19,1745-12-19
1745-12-26,1745,December,26,1745-12-26
1746-01-02,1746,January,2,1746-01-01
1746-01-09,1746,January,9,1746-01-09
1746-01-16,1746,January,16,1746-01-16
1746-01-23,1746,January,23,1746-01-23
1746-01-30,1746,January,30,1746-01-30
1746-02-06,1746,February,6,1746-02-01
1746-02-13,1746,February,13,1746-02-13
1746-02-20,1746,February,20,1746-02-20
1746-02-27,1746,February,27,1746-02-27
1746-03-06,1746,March,6,1746-03-01
1746-03-13,1746,March,13,1746-03-13
1746-03-20,1746,March,20,1746-03-20
1746-03-27,1746,March,27,1746-03-27
1746-04-03,1746,April,3,1746-04-01
1746-04-10,1746,April,10,1746-04-10
1746-04-17,1746,April,17,1746-04-17
1746-04-24,1746,April,24,1746-04-24
1746-05-01,1746,May,1,1746-05-01
1746-05-08,1746,May,8,1746-05-08
1746-05-15,1746,May,15,1746-05-15
1746-05-22,1746,May,22,1746-05-22
1746-05-29,1746,May,29,1746-05-29
1746-06-05,1746,June,5,1746-06-01
1746-06-12,1746,June,12,1746-06-12
1746-06-19,1746,June,19,1746-06-19
1746-06-26,1746,June,26,1746-06-26
1746-07-03,1746,July,3,1746-07-01
1746-07-10,1746,July,10,1746-07-10
1746-07-17,1746,July,17,1746-07-17
1746-07-24,1746,July,24,1746-07-24
1746-07-31,1746,July,31,1746-07-31
1746-08-07,1746,August,7,1746-08-01
1746-08-14,1746,August,14,1746-08-14
1746-08-21,1746,August,21,1746-08-21
1746-08-28,1746,August,28,1746-08-28
1746-09-04,1746,September,4,1746-09-01
1746-09-11,1746,September,11,1746-09-11
1746-09-18,1746,September,18,1746-09-18
1746-09-25,1746,September,25,1746-09-25
1746-10-02,1746,October,2,1746-10-01
1746-10-09,1746,October,9,1746-10-09
1746-10-16,1746,October,16,1746-10-16
1746-10-23,1746,October,23,1746-10-23
1746-10-30,1746,October,30,1746-10-30
1746-11-06,1746,November,6,1746-11-01
1746-11-13,1746,November,13,1746-11-13
1746-11-20,1746,November,20,1746-11-20
1746-11-27,1746,November,27,1746-11-27
1746-12-04,1746,December,4,1746-12-01
1746-12-11,1746,December,11,1746-12-11
1746-12-18,1746,December,18,1746-12-18
1746-12-25,1746,December,25,1746-12-25
1747-01-01,1747,January,1,1747-01-01
1747-01-08,1747,January,8,1747-01-08
1747-01-15,1747,January,15,1747-01-15
1747-01-22,1747,January,22,1747-01-22
1747-01-29,1747,January,29,1747-01-29
1747-02-05,1747,February,5,1747-02-01
1747-02-12,1747,February,12,1747-02-12
1747-02-19,1747,February,19,1747-02-19
1747-02-26,1747,February,26,1747-02-26
1747-03-05,1747,March,5,1747-03-01
1747-03-12,1747,March,12,1747-03-12
1747-03-19,1747,March,19,1747-03-19
1747-03-26,1747,March,26,1747-03-26
1747-04-02,1747,April,2,1747-04-01
1747-04-09,1747,April,9,1747-04-09
1747-04-16,1747,April,16,1747-04-16
1747-04-23,1747,April,23,1747-04-23
1747-04-30,1747,April,30,1747-04-30
1747-05-07,1747,May,7,1747-05-01
1747-05-14,1747,May,14,1747-05-14
1747-05-21,1747,May,21,1747-05-21
1747-05-28,1747,May,28,1747-05-28
1747-06-04,1747,June,4,1747-06-01
1747-06-11,1747,June,11,1747-06-11
1747-06-18,1747,June,18,1747-06-18
1747-06-25,1747,June,25,1747-06-25
1747-07-02,1747,July,2,1747-07-01
1747-07-09,1747,July,9,1747-07-09
1747-07-16,1747,July,16,1747-07-16
1747-07-23,1747,July,23,1747-07-23
1747-07-30,1747,July,30,1747-07-30
1747-08-06,1747,August,6,1747-08-01
1747-08-13,1747,August,13,1747-08-13
1747-08-20,1747,August,20,1747-08-20
1747-08-27,1747,August,27,1747-08-27
1747-09-03,1747,September,3,1747-09-01
1747-09-10,1747,September,10,1747-09-10
1747-09-17,1747,September,17,1747-09-17
1747-09-24,1747,September,24,1747-09-24
1747-10-01,1747,October,1,1747-10-01
1747-10-08,1747,October,8,1747-10-08
1747-10-15,1747,October,15,1747-10-15
1747-10-22,1747,October,22,1747-10-22
1747-10-29,1747,October,29,1747-10-29
1747-11-05,1747,November,5,1747-11-01
1747-11-12,1747,November,12,1747-11-12
1747-11-19,1747,November,19,1747-11-19
1747-11-26,1747,November,26,1747-11-26
1747-12-03,1747,December,3,1747-12-01
1747-12-10,1747,December,10,1747-12-10
1747-12-17,1747,December,17,1747-12-17
1747-12-24,1747,December,24,1747-12-24
1747-12-31,1747,December,31,1747-12-31
1748-01-07,1748,January,7,1748-01-01
1748-01-14,1748,January,14,1748-01-14
1748-01-21,1748,January,21,1748-01-21
1748-01-28,1748,January,28,1748-01-28
1748-02-04,1748,February,4,1748-02-01
1748-02-11,1748,February,11,1748-02-11
1748-02-18,1748,February,18,1748-02-18
1748-02-25,1748,February,25,1748-02-25
1748-03-03,1748,March,3,1748-03-01
1748-03-10,1748,March,10,1748-03-10
1748-03-17,1748,March,17,1748-03-17
1748-03-24,1748,March,24,1748-03-24
1748-03-31,1748,March,31,1748-03-31
1748-04-07,1748,April,7,1748-04-01
1748-04-14,1748,April,14,1748-04-14
1748-04-21,1748,April,21,1748-04-21
1748-04-28,1748,April,28,1748-04-28
1748-05-05,1748,May,5,1748-05-01
1748-05-12,1748,May,12,1748-05-12
1748-05-19,1748,May,19,1748-05-19
1748-05-26,1748,May,26,1748-05-26
1748-06-02,1748,June,2,1748-06-01
1748-06-09,1748,June,9,1748-06-09
1748-06-16,1748,June,16,1748-06-16
1748-06-23,1748,June,23,1748-06-23
1748-06-30,1748,June,30,1748-06-30
1748-07-07,1748,July,7,1748-07-01
1748-07-14,1748,July,14,1748-07-14
1748-07-21,1748,July,21,1748-07-21
1748-07-28,1748,July,28,1748-07-28
1748-08-04,1748,August,4,1748-08-01
1748-08-11,1748,August,11,1748-08-11
1748-08-18,1748,August,18,1748-08-18
1748-08-25,1748,August,25,1748-08-25
1748-09-01,1748,September,1,1748-09-01
1748-09-08,1748,September,8,1748-09-08
1748-09-15,1748,September,15,1748-09-15
1748-09-22,1748,September,22,1748-09-22
1748-09-29,1748,September,29,1748-09-29
1748-10-06,1748,October,6,1748-10-01
1748-10-13,1748,October,13,1748-10-13
1748-10-20,1748,October,20,1748-10-20
1748-10-27,1748,October,27,1748-10-27
1748-11-03,1748,November,3,1748-11-01
1748-11-10,1748,November,10,1748-11-10
1748-11-17,1748,November,17,1748-11-17
1748-11-24,1748,November,24,1748-11-24
1748-12-01,1748,December,1,1748-12-01
1748-12-08,1748,December,8,1748-12-08
1748-12-15,1748,December,15,1748-12-15
1748-12-22,1748,December,22,1748-12-22
1748-12-29,1748,December,29,1748-12-29
1749-01-05,1749,January,5,1749-01-01
1749-01-12,1749,January,12,1749-01-12
1749-01-19,1749,January,19,1749-01-19
1749-01-26,1749,January,26,1749-01-26
1749-02-02,1749,February,2,1749-02-01
1749-02-09,1749,February,9,1749-02-09
1749-02-16,1749,February,16,1749-02-16
1749-02-23,1749,February,23,1749-02-23
1749-03-02,1749,March,2,1749-03-01
1749-03-09,1749,March,9,1749-03-09
1749-03-16,1749,March,16,1749-03-16
1749-03-23,1749,March,23,1749-03-23
1749-03-30,1749,March,30,1749-03-30
1749-04-06,1749,April,6,1749-04-01
1749-04-13,1749,April,13,1749-04-13
1749-04-20,1749,April,20,1749-04-20
1749-04-27,1749,April,27,1749-04-27
1749-05-04,1749,May,4,1749-05-01
1749-05-11,1749,May,11,1749-05-11
1749-05-18,1749,May,18,1749-05-18
1749-05-25,1749,May,25,1749-05-25
1749-06-01,1749,June,1,1749-06-01
1749-06-08,1749,June,8,1749-06-08
1749-06-15,1749,June,15,1749-06-15
1749-06-22,1749,June,22,1749-06-22
1749-06-29,1749,June,29,1749-06-29
1749-07-06,1749,July,6,1749-07-01
1749-07-13,1749,July,13,1749-07-13
1749-07-20,1749,July,20,1749-07-20
1749-07-27,1749,July,27,1749-07-27
1749-08-03,1749,August,3,1749-08-01
1749-08-10,1749,August,10,1749-08-10
1749-08-17,1749,August,17,1749-08-17
1749-08-24,1749,August,24,1749-08-24
1749-08-31,1749,August,31,1749-08-31
1749-09-07,1749,September,7,1749-09-01
1749-09-14,1749,September,14,1749-09-14
1749-09-21,1749,September,21,1749-09-21
1749-09-28,1749,September,28,1749-09-28
1749-10-05,1749,October,5,1749-10-01
1749-10-12,1749,October,12,1749-10-12
1749-10-19,1749,October,19,1749-10-19
1749-10-26,1749,October,26,1749-10-26
1749-11-02,1749,November,2,1749-11-01
1749-11-09,1749,November,9,1749-11-09
1749-11-16,1749,November,16,1749-11-16
1749-11-23,1749,November,23,1749-11-23
1749-11-30,1749,November,30,1749-11-30
1749-12-07,1749,December,7,1749-12-01
1749-12-14,1749,December,14,1749-12-14
1749-12-21,1749,December,21,1749-12-21
1749-12-28,1749,December,28,1749-12-28
1750-01-04,1750,January,4,1750-01-01
1750-01-11,1750,January,11,1750-01-11
1750-01-18,1750,January,18,1750-01-18
1750-01-25,1750,January,25,1750-01-25
1750-02-01,1750,February,1,1750-02-01
1750-02-08,1750,February,8,1750-02-08
1750-02-15,1750,February,15,1750-02-15
1750-02-22,1750,February,22,1750-02-22
1750-03-01,1750,March,1,1750-03-01
1750-03-08,1750,March,8,1750-03-08
1750-03-15,1750,March,15,1750-03-15
1750-03-22,1750,March,22,1750-03-22
1750-03-29,1750,March,29,1750-03-29
1750-04-05,1750,April,5,1750-04-01
1750-04-12,1750,April,12,1750-04-12
1750-04-19,1750,April,19,1750-04-19
1750-04-26,1750,April,26,1750-04-26
1750-05-03,1750,May,3,1750-05-01
1750-05-10,1750,May,10,1750-05-10
1750-05-17,1750,May,17,1750-05-17
1750-05-24,1750,May,24,1750-05-24
1750-05-31,1750,May,31,1750-05-31
1750-06-07,1750,June,7,1750-06-01
1750-06-14,1750,June,14,1750-06-14
1750-06-21,1750,June,21,1750-06-21
1750-06-28,1750,June,28,1750-06-28
1750-07-05,1750,July,5,1750-07-01
1750-07-12,1750,July,12,1750-07-12
1750-07-19,1750,July,19,1750-07-19
1750-07-26,1750,July,26,1750-07-26
1750-08-02,1750,August,2,1750-08-01
1750-08-09,1750,August,9,1750-08-09
1750-08-16,1750,August,16,1750-08-16
1750-08-23,1750,August,23,1750-08-23
1750-08-30,1750,August,30,1750-08-30
1750-09-06,1750,September,6,1750-09-01
1750-09-13,1750,September,13,1750-09-13
1750-09-20,1750,September,20,1750-09-20
1750-09-27,1750,September,27,1750-09-27
1750-10-04,1750,October,4,1750-10-01
1750-10-11,1750,October,11,1750-10-11
1750-10-18,1750,October,18,1750-10-18
1750-10-25,1750,October,25,1750-10-25
1750-11-01,1750,November,1,1750-11-01
1750-11-08,1750,November,8,1750-11-08
1750-11-15,1750,November,15,1750-11-15
